UserID,RecommendedProducts,PromoMessage
0,"['LARGE CERAMIC TOP STORAGE JAR', 'SMALL CERAMIC TOP STORAGE JAR ', 'FRENCH STYLE STORAGE JAR CAFE ']","Hey 0! Check out these awesome products: LARGE CERAMIC TOP STORAGE JAR, SMALL CERAMIC TOP STORAGE JAR , French STYLE STORAGE JAR CAFE . 🎉🛍️"
1,"['RED GINGHAM ROSE JEWELLERY BOX', 'STRAWBERRY LUNCH BOX WITH CUTLERY', 'SET OF 3 REGENCY CAKE TINS']","Hey, you're on the lookout for some great products! RED GINGHAM ROSE JEWELLERY BOX, STRAWBERRY LUNCH BOX WITH CUTLERY, SET OF 3 RE 🎉🛍️"
2,"['PACK OF 72 RETROSPOT CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES']","Hey User 2! Look at these awesome products: PACK OF 72 RETROSPOT CAKE CASES, PACK OF 60 MUSHROOM CAKE CASES, PACK OF 60 SPACEBOY CAKE CAS 🎉🛍️"
3,"['PACK OF 60 MUSHROOM CAKE CASES', 'ROUND CONTAINER SET OF 5 RETROSPOT', 'WOODLAND PARTY BAG + STICKER SET']","Hey User 3! Check out these awesome products: PACK OF 60 MUSHROOM CAKE CASES, ROUND CONTAINER SET OF 5 RETROSPOT, WOODLAND PARTY BAG + STICK 🎉🛍️"
4,"['LUNCH BAG RED RETROSPOT', 'BISCUIT TIN VINTAGE RED', 'BISCUIT TIN VINTAGE GREEN']","Hey! Look at these awesome products: LUNCH BAG RED RETROSPOT, BISCUIT TIN VINTAGE RED, BISCUIT TIN VINTAGE GREEN. Write a catchy 🎉🛍️"
5,"['RECIPE BOX PANTRY YELLOW DESIGN', 'JAM MAKING SET WITH JARS', 'SET 2 PANTRY DESIGN TEA TOWELS']","Hey User 5! Check out these awesome products: RECIPE BOX PANTRY YELLOW DESIGN, JAM MAKING SET WITH JARS, SET 2 PANTRY DESIGN TEA TOWELS. Write catch 🎉🛍️"
6,"['SWEETHEART CERAMIC TRINKET BOX', 'HANGING FAIRY CAKE DECORATION', 'BLACK SMALL GLASS CAKE STAND']","Hey User 6! Check out these awesome products: SWEETHEART CERAMIC TRINKET BOX, HANGING FAIRY CAKE DECORATION, BLACK SMALL GLASS CAKE STAND. Write 🎉🛍️"
7,"['ROUND CONTAINER SET OF 5 RETROSPOT', 'WOODLAND PARTY BAG + STICKER SET', 'LUNCH BOX WITH CUTLERY RETROSPOT ']","Hey user 7! Check out these awesome products: ROUND CONTAINER SET OF 5 RETROSPOT, WOODLAND PARTY BAG + STICKER SET, LUNCH BOX WITH CUTLERY 🎉🛍️"
8,"['REGENCY TEA PLATE ROSES ', 'REGENCY TEA PLATE PINK', 'SET OF 3 REGENCY CAKE TINS']","Hey user 8! Check out these awesome products: REGENCY TEA PLATE ROSES , REGENCY TEA PLATE PINK, SET OF 3 REGENCY CAKE TINS. Write a 🎉🛍️"
9,"['SET/10 RED POLKADOT PARTY CANDLES', 'PACK OF 60 MUSHROOM CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES']","Hey! Hey! Check out these awesome products: SET/10 RED POLKADOT PARTY CANDLES, PACK OF 60 MUSHROOM CAKE CASES, PACK OF 60 SPACEBOY CAKE 🎉🛍️"
10,"['LUNCH BAG RED RETROSPOT', 'RED GINGHAM ROSE JEWELLERY BOX', 'STRAWBERRY LUNCH BOX WITH CUTLERY']","Hey user 10! Check out these awesome products: LUNCH BAG RED RETROSPOT, RED GINGHAM ROSE JEWELLERY BOX, STRAWBERRY LUNCH BOX WITH CUT 🎉🛍️"
11,"['CERAMIC CAKE DESIGN SPOTTED MUG', 'ROSE SCENT CANDLE IN JEWELLED BOX', 'PINK MARSHMALLOW SCARF KNITTING KIT']","Hey User 11! Check out these awesome products: CERAMIC CAKE DESIGN SPOTTED MUG, ROSE SCENT CANDLE INJEWELLED BOX, PINK MARSHMALLOW SCARF KN 🎉🛍️"
12,"['BISCUIT TIN VINTAGE RED', 'BISCUIT TIN VINTAGE GREEN', 'BREAD BIN DINER STYLE PINK']","Hey user 12! Check out these awesome products: BISCUIT TIN VINTAGE RED, BISCUIT TIN VINTAGE GREEN, BREAD BIN DINER STYLE PINK. Write 🎉🛍️"
13,"['SET/10 RED POLKADOT PARTY CANDLES', 'WOODLAND PARTY BAG + STICKER SET', 'SET OF 4 KNICK KNACK TINS DOILEY ']",GET STARTED ! GET STARTED ! GET STARTED ! GET STARTED ! GET STARTED ! GET STARTED ! GET STARTED ! 🎉🛍️
14,"['STRAWBERRY LUNCH BOX WITH CUTLERY', 'DINOSAUR LUNCH BOX WITH CUTLERY', 'LUNCH BOX WITH CUTLERY RETROSPOT ']","STRAWBERRY LUNCH BOX WITH CUTLERY, DINOSAUR LUNCH BOX WITH CUTLERY, LUNCH BOX WITH CUTLERY RETROSPOT 🎉🛍️"
15,"['PACK OF 60 MUSHROOM CAKE CASES', 'WOODLAND PARTY BAG + STICKER SET', 'SET OF 4 KNICK KNACK TINS DOILEY ']","Hey User 15! Check out these awesome products: PACK OF 60 MUSHROOM CAKE CASES, WOODLAND PARTY BAG + STICKER SET, STICKER SET OF 4 KNICK K 🎉🛍️"
16,"['PACK OF 60 SPACEBOY CAKE CASES', '60 CAKE CASES DOLLY GIRL DESIGN', 'SET OF 12 FAIRY CAKE BAKING CASES']","Hey user 16! Check out these awesome products: PACK OF 60 SPACEBOY CAKE CASES, 60 CAKE CASES DOLLY GIRL DESIGN, SET OF 12 FAIRY CAKE BAKING 🎉🛍️"
17,"['WOODLAND PARTY BAG + STICKER SET', 'DINOSAUR PARTY BAG + STICKER SET', 'PACK OF 60 SPACEBOY CAKE CASES']","Hey User 17! Check out these awesome products: WOODLAND PARTY BAG + STICKER SET, DINOSAUR PARTY BAG + STICKER SET, PACK OF 60 SPACEBOY C 🎉🛍️"
18,"['REGENCY TEA PLATE ROSES ', 'REGENCY TEA PLATE PINK', 'SET OF 3 REGENCY CAKE TINS']","Hey User 18! Check out these awesome products: REGENCY TEA PLATE ROSES , REGENCY TEA PLATE PINK, SET OF 3 REGENCY CAKE TINS. Write a 🎉🛍️"
19,"['WOODLAND PARTY BAG + STICKER SET', 'LUNCH BAG SPACEBOY DESIGN ', 'DOLLY GIRL MINI BACKPACK']","Hey user 19! Check out these awesome products: WOODLAND PARTY BAG + STICKER SET, LUNCH BAG SPACEBOY DESIGN , DOLLY GIRL MINI BACKPACK. Write 🎉🛍️"
